"feature"	"metadata"	"value"	"coef"	"stderr"	"N"	"N.not.0"	"pval"	"qval"
"5"	"GDCA"	"baiE"	"baiE"	0.02487541756888	0.00454187151119207	270	245	1.00823697740839e-07	5.47442350918405e-07
"6"	"TDCA"	"baiE"	"baiE"	0.00290740268208541	0.000530488949895669	270	249	9.89488400802294e-08	5.47442350918405e-07
"7"	"DCA_species"	"baiE"	"baiE"	0.0465428998109365	0.00850350643464267	270	269	1.02645440797201e-07	5.47442350918405e-07
"10"	"GLCA"	"baiE"	"baiE"	0.00159624808700617	0.000359746217918168	270	229	1.33977244450357e-05	5.35908977801428e-05
"12"	"LCA"	"baiE"	"baiE"	0.00192124632600485	0.000472218171542428	270	204	6.25215806630811e-05	0.00020006905812186
"13"	"GUDCA"	"baiE"	"baiE"	-0.00657910630264603	0.00175835985820575	270	269	0.000224336172908843	0.000598229794423581
"15"	"DCA"	"baiE"	"baiE"	0.018760079559971	0.00529597107319582	270	263	0.000468783799218206	0.00107150582678447
"16"	"UDCA"	"baiE"	"baiE"	-0.0112040299710122	0.00320479793993657	270	265	0.0005538148638591	0.0011076297277182
"18"	"TLCA"	"baiE"	"baiE"	0.00039186787336527	0.000123162033218982	270	170	0.0016390407221708	0.00291385017274809
"21"	"GCDCA"	"baiE"	"baiE"	-0.0173460561961712	0.00727518711595896	270	270	0.0178194869957522	0.0285111791932035
"82"	"DCA_species"	"baiI"	"baiI"	0.0788758819032939	0.00730274949911676	270	269	9.22517761092935e-23	1.4760284177487e-21
"86"	"GDCA"	"baiI"	"baiI"	0.0381558224374142	0.00405280975325008	270	245	2.45744040164617e-18	1.96595232131694e-17
"87"	"GUDCA"	"baiI"	"baiI"	-0.0135205620976753	0.00155467015964767	270	269	3.71292997367879e-16	1.98022931929535e-15
"88"	"DCA"	"baiI"	"baiI"	0.0370207881426637	0.00478209028800425	270	263	2.09937624305974e-13	8.39750497223896e-13
"89"	"TDCA"	"baiI"	"baiI"	0.003699271323216	0.000497507141604879	270	249	1.45738970812232e-12	4.66364706599142e-12
"90"	"GLCA"	"baiI"	"baiI"	0.00238103254093502	0.000333681456688505	270	229	9.29083150362097e-12	2.47755506763226e-11
"91"	"LCA"	"baiI"	"baiI"	0.00289380215817445	0.000441135224093998	270	204	2.82716107605068e-10	6.46208245954441e-10
"93"	"UDCA"	"baiI"	"baiI"	-0.016761370297668	0.003032988681647	270	265	7.8396021106088e-08	1.56792042212176e-07
"94"	"GCDCA"	"baiI"	"baiI"	-0.0354534345766072	0.00684665223394261	270	270	4.4468946322421e-07	7.90559045731929e-07
"99"	"TLCA"	"baiI"	"baiI"	0.000412736675771712	0.000119988854547637	270	170	0.000676451143572808	0.000983928936105903
"100"	"TUDCA"	"baiI"	"baiI"	-0.000551147700153547	0.000159660081098759	270	195	0.000647825844142222	0.000983928936105903
"102"	"CDCA"	"baiI"	"baiI"	-0.0164803446808608	0.00556751134194305	270	270	0.0033549737570356	0.00447329834271413
"169"	"GUDCA"	"bsh"	"bsh"	0.00649252664017703	0.00173888369657912	270	269	0.000231112236495064	0.00369779578392102
"171"	"TUDCA"	"bsh"	"bsh"	0.0004562098946472	0.000162748700842343	270	195	0.00543589891462523	0.0434871913170018
"246"	"DCA_species"	"X7_beta_hsdh"	"X7_beta_hsdh"	-0.0429414417858568	0.00816958886302103	270	269	3.0358202352524e-07	4.85731237640384e-06
"249"	"GDCA"	"X7_beta_hsdh"	"X7_beta_hsdh"	-0.0199537288377951	0.00441899767635081	270	245	9.53061673675682e-06	7.62449338940546e-05
"250"	"GLCA"	"X7_beta_hsdh"	"X7_beta_hsdh"	-0.00151665360886104	0.00034442859192924	270	229	1.54948827542797e-05	8.26393746894917e-05
"252"	"TDCA"	"X7_beta_hsdh"	"X7_beta_hsdh"	-0.00217081117427851	0.000518807903646697	270	249	3.89929291657192e-05	0.000148585711137425
"253"	"DCA"	"X7_beta_hsdh"	"X7_beta_hsdh"	-0.0208169017737833	0.00502612390415647	270	263	4.64330347304454e-05	0.000148585711137425
"254"	"GUDCA"	"X7_beta_hsdh"	"X7_beta_hsdh"	0.00664394345916719	0.00167752455140468	270	269	9.62416255738773e-05	0.000256644334863673
"255"	"LCA"	"X7_beta_hsdh"	"X7_beta_hsdh"	-0.00175121386615377	0.000453184683478624	270	204	0.000140311327183054	0.000320711604989838
"256"	"UDCA"	"X7_beta_hsdh"	"X7_beta_hsdh"	0.0104034749828098	0.00307087045903296	270	265	0.000812050107674023	0.00162410021534805
"258"	"GCDCA"	"X7_beta_hsdh"	"X7_beta_hsdh"	0.0182469217276057	0.00694611023169823	270	270	0.0091197029574619	0.01621280525771
